,0MainPrediction,1BackstagePrediction,2FOHPrediction,3Practice_RoomPrediction,4BacklinePrediction,5Merch_StandPrediction,6BarPrediction,Actual
0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.73,0.0,0.0,0.0,3
2,0.3,0.0,0.0,0.0,0.0,0.0,0.28,3
3,0.0,0.0,0.0,0.0,0.96,0.0,0.0,4
4,0.0,0.0,0.0,0.05,0.02,0.0,0.15,3
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
6,0.0,0.0,0.0,0.0,0.01,0.0,0.07,6
7,0.01,0.0,0.02,0.0,0.98,0.0,0.0,4
8,0.0,0.0,0.0,0.0,0.75,0.0,0.0,3
9,0.14,0.0,0.02,0.01,0.03,0.0,0.5,0
10,0.01,0.0,0.0,0.0,0.02,1.0,0.0,5
11,0.04,0.0,0.02,0.0,0.02,0.0,0.0,4
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
13,0.49,0.02,0.16,0.11,0.38,0.14,0.67,0
14,0.02,0.0,0.06,0.01,0.97,0.0,0.0,4
15,0.0,0.0,0.01,1.0,0.0,0.0,0.0,3
16,0.0,0.0,0.03,0.0,0.0,0.0,0.0,3
17,0.0,0.0,0.0,0.0,0.87,0.0,0.0,4
18,0.17,0.02,0.32,0.62,0.45,0.45,0.15,4
19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2
20,0.0,0.0,0.0,0.0,0.31,0.0,0.0,4
21,0.0,0.0,0.0,0.0,0.09,0.0,0.0,4
22,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0
23,0.0,0.0,0.0,0.16,0.18,0.0,0.01,4
24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
26,0.01,0.0,0.0,0.01,0.0,0.0,0.0,4
27,0.02,0.0,0.0,1.0,0.0,0.0,0.0,6
28,0.07,0.0,0.01,0.03,0.05,0.92,0.04,5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.04,6
30,0.05,0.0,0.0,0.0,0.07,0.0,0.02,4
31,0.0,0.0,0.1,0.0,0.41,0.0,0.01,2
32,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0
33,0.01,0.0,0.0,0.01,0.03,0.1,0.02,3
34,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0
35,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
37,0.0,0.0,0.0,0.0,0.02,0.0,0.0,4
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
39,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,0.05,0.0,0.85,0.0,0.99,0.0,0.0,4
43,0.04,0.0,0.0,0.0,0.07,0.84,0.0,4
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
45,0.02,0.0,0.0,0.98,0.01,0.0,0.0,3
46,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0
47,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2
48,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3
49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
50,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0
51,0.02,0.0,0.0,0.79,0.0,0.0,0.0,3
52,0.04,0.0,0.0,0.01,0.08,0.0,0.07,4
53,0.01,0.0,0.0,0.49,0.0,0.0,0.0,3
54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
55,0.0,0.0,0.0,0.0,0.07,0.0,0.0,4
56,0.01,0.0,0.0,1.0,0.2,0.0,0.0,3
57,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3
58,0.0,0.0,0.0,0.0,0.65,0.0,0.0,4
59,0.02,0.0,0.03,0.0,0.03,0.0,0.0,2
60,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
62,0.0,0.0,0.01,0.0,0.3,0.2,0.01,5
63,0.0,0.0,0.94,0.0,0.01,0.0,0.0,3
64,0.0,0.0,0.53,0.0,0.0,0.0,0.0,3
65,0.0,0.0,0.0,0.0,0.75,0.01,0.0,0
66,0.0,0.0,0.0,0.0,0.91,0.0,0.0,4
67,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
72,0.04,0.0,0.0,0.0,0.01,0.98,0.0,5
73,0.0,0.0,0.0,0.0,0.01,0.91,0.0,5
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,0.82,0.0,0.0,0.01,0.23,0.0,0.03,4
76,0.07,0.0,0.01,0.01,0.07,0.0,0.03,2
77,0.24,0.0,0.05,0.0,0.01,0.0,0.0,4
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
80,0.01,0.0,0.0,0.83,0.0,0.0,0.03,3
81,0.45,0.09,0.3,0.43,0.5,0.29,0.65,4
82,0.01,0.0,0.0,0.0,0.01,0.0,0.0,3
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,0.0,0.0,0.96,0.0,0.9,0.0,0.0,2
86,0.0,0.0,0.13,0.0,0.11,0.0,0.02,0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
88,0.01,0.0,0.0,0.0,0.0,0.0,0.44,0
89,0.0,0.0,0.1,0.04,0.0,0.0,0.0,3
90,0.0,0.0,0.0,0.01,0.47,0.0,0.0,4
91,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6
92,0.0,0.0,0.0,0.0,0.99,1.0,0.0,5
93,0.01,0.0,0.01,0.31,0.0,0.0,0.0,3
94,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0
95,0.04,0.0,0.0,0.0,0.67,0.0,0.0,4
96,0.0,0.0,0.0,0.0,0.01,0.07,0.0,5
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
98,0.95,0.0,0.0,0.0,0.0,0.0,0.02,0
99,0.0,0.0,0.01,0.02,0.0,0.0,0.0,3
100,0.0,0.0,0.0,0.99,0.0,0.0,0.0,3
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
102,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2
103,0.01,0.0,0.0,0.0,0.99,0.0,0.0,4
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
